竹北_vd_speed,竹北_live_traffic_speed,三重_vd_speed,三重_live_traffic_speed,寶山_vd_speed,寶山_live_traffic_speed
87.25,79,89.75,84,103.66666666666667,89
85.75,79,88.5,85,99.66666666666667,90
90.66666666666667,81,89.5,85,101.0,90
88.5,81,88.75,84,97.0,89
81.25,82,91.75,83,101.33333333333333,89
88.33333333333333,84,88.5,83,100.66666666666667,89
81.33333333333333,84,85.5,83,100.0,88
88.25,84,88.5,83,93.66666666666667,87
85.75,85,87.5,83,100.66666666666667,88
84.33333333333333,85,87.0,84,103.0,89
93.0,86,92.75,83,96.33333333333333,89
93.0,87,93.5,84,103.66666666666667,90
89.5,88,90.0,84,96.66666666666667,89
91.33333333333333,89,91.25,84,103.0,87
94.5,90,90.5,83,96.66666666666667,85
89.33333333333333,92,89.25,83,94.33333333333333,81
95.25,92,93.75,82,94.33333333333333,78
95.0,93,86.25,82,97.66666666666667,75
91.75,92,88.0,83,105.0,71
97.0,93,92.25,83,98.0,68
98.0,92,92.25,84,98.66666666666667,65
89.33333333333333,91,85.25,85,101.33333333333333,61
98.0,92,92.0,84,98.0,57
104.5,93,91.25,85,97.33333333333333,55
88.0,93,87.25,85,98.33333333333333,55
92.33333333333333,94,88.5,85,98.33333333333333,53
91.33333333333333,93,90.75,84,103.0,49
95.75,92,92.25,84,99.33333333333333,47
85.33333333333333,91,92.0,84,100.0,44
92.0,90,86.75,85,103.0,37
93.66666666666667,89,88.5,85,99.33333333333333,33
92.66666666666667,91,87.75,85,100.66666666666667,33
93.33333333333333,90,92.0,86,103.33333333333333,33
97.0,91,89.5,85,103.0,34
94.0,92,88.0,85,99.0,32
110.0,92,93.75,85,99.66666666666667,36
86.25,91,93.75,85,98.33333333333333,35
89.25,92,93.5,85,94.66666666666667,36
96.5,92,98.5,85,99.0,38
92.33333333333333,92,94.75,86,101.33333333333333,39
93.25,92,93.5,86,100.5,43
87.25,92,88.0,86,102.0,49
75.66666666666667,89,92.75,86,102.0,53
89.75,87,92.5,86,101.33333333333333,58
81.0,85,97.0,86,101.33333333333333,61
75.0,83,93.5,86,93.0,67
82.33333333333333,81,87.25,86,98.66666666666667,74
92.75,82,97.25,86,100.66666666666667,80
84.0,82,89.0,86,96.0,84
81.33333333333333,82,94.5,85,100.0,87
88.75,83,98.0,85,97.33333333333333,87
84.5,84,97.5,85,95.66666666666667,87
94.25,84,96.75,85,102.33333333333333,87
86.66666666666667,85,100.5,87,102.33333333333333,87
80.0,84,99.0,88,97.66666666666667,87
80.25,83,93.75,89,101.66666666666667,87
97.0,84,93.75,89,97.66666666666667,87
80.66666666666667,84,94.25,89,93.66666666666667,86
80.33333333333333,84,97.5,88,101.33333333333333,86
84.66666666666667,85,99.5,87,99.33333333333333,86
71.0,83,98.75,88,101.66666666666667,88
83.0,81,97.0,89,100.0,89
86.0,82,95.75,89,98.33333333333333,91
80.0,81,92.5,89,103.0,91
82.25,81,93.5,89,101.33333333333333,92
93.0,82,94.75,87,100.33333333333333,93
78.75,82,96.0,86,98.33333333333333,93
79.25,82,91.5,87,103.0,93
88.33333333333333,84,99.75,87,102.0,94
79.5,82,104.0,88,102.33333333333333,94
88.25,82,100.25,89,103.66666666666667,94
84.0,83,97.25,89,100.0,94
81.33333333333333,82,96.75,90,101.33333333333333,95
82.0,82,98.5,90,102.0,95
94.75,83,95.75,89,102.0,95
84.75,84,95.75,88,100.66666666666667,96
90.66666666666667,83,99.5,89,97.0,95
93.66666666666667,85,98.25,89,100.33333333333333,94
89.33333333333333,86,93.0,89,99.33333333333333,94
91.33333333333333,86,101.0,90,102.0,93
91.66666666666667,88,101.75,90,99.33333333333333,92
85.0,89,97.75,90,100.33333333333333,92
90.75,89,96.5,90,102.66666666666667,93
94.5,88,97.75,90,98.66666666666667,93
86.33333333333333,88,94.5,90,96.66666666666667,93
87.0,89,90.75,89,97.66666666666667,93
97.0,89,92.25,87,101.33333333333333,92
89.25,88,94.75,87,104.66666666666667,92
95.66666666666667,90,97.25,87,104.66666666666667,92
92.66666666666667,91,96.5,86,101.33333333333333,93
89.33333333333333,91,88.25,87,103.66666666666667,93
83.33333333333333,91,91.5,87,99.0,94
82.66666666666667,90,95.75,87,89.0,94
90.66666666666667,89,95.5,88,98.0,93
95.0,89,97.25,88,105.0,92
89.0,89,100.0,88,100.66666666666667,91
91.66666666666667,90,98.5,90,100.66666666666667,91
91.75,91,98.75,91,99.0,91
91.0,92,99.5,90,99.0,91
88.66666666666667,91,92.75,91,104.0,92
90.75,90,94.75,91,101.33333333333333,93
95.5,88,96.25,89,99.33333333333333,92
90.25,88,98.0,89,98.0,92
88.33333333333333,87,92.25,88,103.0,93
91.5,87,98.5,87,101.0,93
92.75,88,92.0,87,106.0,93
105.25,89,98.0,87,96.66666666666667,93
88.33333333333333,90,99.5,87,97.0,94
93.66666666666667,91,86.5,87,102.33333333333333,94
90.66666666666667,90,100.25,87,100.66666666666667,94
97.25,91,96.75,88,99.0,93
93.0,90,96.25,89,96.0,93
95.33333333333333,90,94.0,89,103.33333333333333,93
